Tue May 05 17:58:28 PDT 2015 --  Omg Omg # voicesavekimberly
Sun Apr 05 09:24:24 PDT 2015 --  the kids that drew so hard on the magna doodle they left permanent black marks? they're all in jail for murder now pic.twitter.com/hOfmaiuQk3
Fri Mar 06 14:58:55 PST 2015 --  I love my dream home!! Design yours for a chance to win $300k from @Zillow and @FYI. #HOMEis NPN Rules: http://bit.ly/1A1A7Bt 
Sat Feb 21 17:45:28 PST 2015 --  I worship at the church of Elijah Wood @woodelijah
Fri Feb 06 08:24:07 PST 2015 --  Thanks to the only other person who came into the bathroom & then used the stall right next to me when there were 9 to choose from -no one
Sun Feb 01 17:21:23 PST 2015 --  Omg Omg missy elliot!!!! I've missed you so hard @MissyElliott @HalftimeReport @HalfTimeTalk @JackietheKTcat
Wed Jan 21 11:09:22 PST 2015 --  I just want to say that I still really, really love Barack Obama @BarackObama
Sun Jan 11 17:24:10 PST 2015 --  Harrison Ford, we would all be ok if you decided to let the earring go #GoldenGlobes
Wed Jan 07 10:39:31 PST 2015 --  What happened to @chilis? You used to be so good! Now you're turning into a Ruby Tuesday and it's very disappointing...
Sat Dec 13 14:45:10 PST 2014 --  RT if you can't wait to watch "Best Christmas Party Ever" with us tonight!
Tue Nov 18 11:35:42 PST 2014 --  Daniel Radcliffe has aged like a fine elf
Tue Nov 11 09:22:59 PST 2014 --  I just blew a snot rocket IN MY CAR without even thinking, and I have no idea why. #whitetrash #gross #lostmydamnmind
Mon Oct 13 17:04:00 PDT 2014 --  I worship at the church of Harry Potter. #harrypotterforever #HarryPotterWeek #harrypotter
Tue Sep 16 18:42:28 PDT 2014 --  Men. You can't live with them, and you can't live without their d*** inside you sometimes. #girls #ithappens #truth
Tue Sep 16 16:48:26 PDT 2014 --  #IfLovingYouIsWrong this white man think he black or Mexican and he really Italian. #mamasboy
Mon Sep 08 15:37:41 PDT 2014 --  I've been going to @walgreens for years and now I will never go there again. How can you overcharge a costumer and refuse to fix it?
Sun Sep 07 14:45:27 PDT 2014 --  Sunday Funday? Ft. @MattDCharles Phil @LaurenceGHulse and Paddy http://www.Warwickrowers.org  pic.twitter.com/CBQVpQBj1A
Tue Sep 02 15:35:14 PDT 2014 --  You know the kid who always insisted on taking apart his sandwich so he could fill it with Doritos? That kid grew up to be Taco Bell.
Tue Sep 02 07:21:53 PDT 2014 --  The best part of every day is exchanging @MattBellassai quotes with @amurphy522 & @kmurphy0506 because he's the only person worth following
Fri Aug 29 16:37:49 PDT 2014 --  I love Fridays because H2 marathons the hell out of all my alien shows!! @Tsoukalos @spurleezy @kmurphy0506
Tue Aug 26 14:23:10 PDT 2014 --  If I had a line of merchandise, it would just be my name grilled into the side of a hot dog.
Fri Jul 11 11:03:15 PDT 2014 --  If you're seeing Beyoncé and Beyoncé's husband tonight, I feel good for you son. I got 99 problems and literally every one is that I am not
Thu Jul 10 19:32:33 PDT 2014 --  "On my way!" is my favorite thing to text from the couch.
Fri Jul 04 14:31:34 PDT 2014 --  James Rodriguez tho
Mon Jun 23 08:07:28 PDT 2014 --  Sorry, I can't come into work today. I thought about the opening scene of "Up."
Fri Jun 20 14:19:19 PDT 2014 --  What Friday night #dreams are made of. I want in @amurphy522 and so does @clayrthebayr pic.twitter.com/AhsPlN8tcA
Tue May 06 16:04:29 PDT 2014 --  Foreign films aren't doing so well in the U.S. @indiewire explains. http://www.indiewire.com/article/why-us-audiences-are-abandoning-subtitled-films-now-more-than-ever …
Tue May 06 17:13:17 PDT 2014 --  I'm gonna hash tag "eat my pie"- a gem from @clayrthebayr @kmurphy0506 's mom
Tue Apr 15 08:48:16 PDT 2014 --  life advice: only look at your bank account on pay day
Sun Apr 06 11:45:02 PDT 2014 --  Watch this deleted scene from Derek Season 2 http://www.youtube.com/watch?v=ISw_0He14ZM … Please RT if, like me, you'd love to get #DiseasedBadger trending. Haha
Mon Mar 31 12:06:41 PDT 2014 --  I told you!! @kmurphy0506 @amurphy522 Dating Tip: Prove Your Devotion By Making Yourself GROSS http://bzfd.it/1rZ8jKl 
Sat Mar 29 14:01:55 PDT 2014 --  Stonewall! #gogodididonyc @TwoPlaysInRep 2 shows left! pic.twitter.com/WaXTGYX3dR
Sat Mar 22 16:21:25 PDT 2014 --  Hey tweeters, twat this... You're all whorrible @kmurphy0506 @amurphy522
Tue Mar 18 16:32:04 PDT 2014 --  I'm saying yes to life! @kmurphy0506 @clayrthebayr
Wed Mar 12 13:55:35 PDT 2014 --  RT if you'll be watching all new @AncientAliens this Friday on H2 to find out more about alien breeding theory. http://histv.co/1cS1iqN 
Wed Mar 12 15:04:13 PDT 2014 --  Whenever I need to go to my happy place, I mentally put myself in a #PropertyBrothers sandwich @MrSilverScott @MrDrewScott @hgtv
Sat Feb 22 20:24:44 PST 2014 --  The only thing(s) better than butterscotch are butter and scotch. #sisters #butter #butterscotch #scotch #realtalk #underworldproblems
Sat Feb 22 19:14:08 PST 2014 --  @clayrthebayr says America doesn't care about soccer and America doesn't care about women. #onlygirlsplaysoccer
Sun Feb 16 14:35:23 PST 2014 --  #derek is the most beautifully made show I've ever seen. @rickygervais absolutely nailed it!
Sat Feb 15 15:31:15 PST 2014 --  I worship at the church of Chris O'Dowd and Richard Ayoade...
Wed Feb 05 16:19:16 PST 2014 --  I would rather choke on my own blood than ever clean my shower... ever
Fri Dec 27 15:48:08 PST 2013 --  I heard that @kmurphy0506 got a twitter account, so I got a twitter account.
