Sun Aug 23 19:52:45 PDT 2015 --  Falling In The Black , Slipping Through The Cracks pic.twitter.com/bGeaesdXOs
Sat Aug 22 16:43:01 PDT 2015 --  This musical.ly user is really cool. Follow ObeyxVeronica on musical.ly and check out http://musical.ly/download  pic.twitter.com/VZvTMqzDOC
Sat Aug 15 19:34:54 PDT 2015 --  Gianni (; pic.twitter.com/VioQwb6jY6
Sat Aug 15 16:31:15 PDT 2015 --  Got My VANS Finally ^^ pic.twitter.com/H1tlqYtrfK
Fri Aug 14 12:16:19 PDT 2015 --  S T R A I G H T OUTTA C O M P T O N https://instagram.com/p/6YAwvkw2QDi9VQ_O0WlZ2ahONHMKKwpXvNvZc0/ …
Fri Aug 07 18:59:26 PDT 2015 --  Cause i miss my besttfrienddd <3 pic.twitter.com/402fZEQk0J
Fri Aug 07 15:54:00 PDT 2015 --  Cross the line if you're in a long distance relationship with someone you adore and don't know when you will ever meet.
Fri Aug 07 09:03:45 PDT 2015 --  Cross the line if you think about your entire life right before you go to sleep.
Wed Jul 29 19:16:27 PDT 2015 --  Awee my baby pic.twitter.com/gur71r4Zhf
Sun Jul 05 15:55:39 PDT 2015 --  Happy birthday lil cutie ily Ashton hope you enjoy being 10 https://instagram.com/p/4xaENaw2ex/ 
Mon Jun 29 13:28:48 PDT 2015 --  Sometımes ıt all gets a lıttle too much but you gotta realize that soon the fog will clear up https://instagram.com/p/4hsfUzQ2Z9/ 
Fri Jun 26 20:24:19 PDT 2015 --  Tinashe https://twitter.com/Tinashe/status/2217214260 …
Fri Jun 26 20:18:24 PDT 2015 --  Frfr https://twitter.com/clxuds/status/613543467222851584 …
Fri Jun 26 20:00:39 PDT 2015 --  The Worst http://twitter.com/httpvibes/status/532389719066558464/photo/1pic.twitter.com/gQxenRDtRx 
Fri Jun 12 09:02:46 PDT 2015 --  Parenting goals pic.twitter.com/93P8HsZlQP
Fri Jun 26 16:17:36 PDT 2015 --  #LoveWins
Wed Jun 24 20:31:05 PDT 2015 --  i have food in the fridge but it all requires more than 5 minutes to cook so i don't have food.
Wed Jun 24 18:32:57 PDT 2015 --  #DoItLikeItsLegal
Wed Jun 24 16:00:44 PDT 2015 --  TEENS NOWADAYS: ● smoking ● drinking ● pregnant ● drugs ME: ○ TWITTER ○ FOOD ○ STUDY ○ SLEEP My parents should BE PROUD.
