Thu Aug 27 08:17:46 PDT 2015 --  履歴書終わり〜〜
Mon Aug 24 08:10:17 PDT 2015 --  3年間違うクラスなのに なんでこんな仲良くなったのか… 今年の夏休みの7割くらい一緒にいた気がするよ。 pic.twitter.com/gjFPA0rQQE
Sun Aug 23 11:30:49 PDT 2015 --  この時間まで起きてて 明日学校とか終わりだわ
Sun Aug 23 07:14:42 PDT 2015 --  巨人負けたから 明日は絶対、担任ピリピリしてんじゃん！最悪や…
Fri Aug 21 05:33:04 PDT 2015 --  宇商は選考会議が遅すぎます。 昨日決まって1ヶ月もしないまま試験だし、月曜までに履歴書とか無理すぎんだろ〜ww
Wed Aug 19 18:02:04 PDT 2015 --  デニス植野コレクション @ta_shiba0704 pic.twitter.com/YXaxzcTtoO
Tue Aug 18 04:08:30 PDT 2015 --  会社の先輩が群馬にて盗難被害に遭いました！ 今日の１時半から５時半頃の話だそうです！ もし情報ありましたら連絡お願いします！ #拡散希望 pic.twitter.com/cHfMQa77I9
Tue Aug 18 09:19:33 PDT 2015 --  疲れてるのに眠れない
Sun Aug 16 22:36:53 PDT 2015 --  作新学院 赤木陸哉 亡き母に捧げた高校野球生活。 2年春には両親の結婚記念日にサヨナラホームラン。 3年夏県大会決勝でも亡き母に捧げる一発を放った。 甲子園でも去年のリベンジと言わんばかりの大活躍。 今後の活躍に期待する。 pic.twitter.com/JdqK0g1cFl
Sun Aug 16 08:52:04 PDT 2015 --  クリロナとネイマールとみきやの影響でナイキ好きになっちゃいそう
Sun Aug 16 04:52:46 PDT 2015 --  ３年前のアジアチャレンジマッチU15の日本代表。 小笠原、溝田、添田などやはり甲子園を沸かせた(沸かせている)選手が目立つ。 pic.twitter.com/8igjo4iSSZ
Sat Aug 15 08:31:47 PDT 2015 --  電車あと一時間はきつい。
Sat Aug 15 04:31:50 PDT 2015 --  甲子園まで応援来て良かった！ 陸哉もヒット打ってくれたし！ いろいろ鳥肌たったよww お母さんも絶対喜んでる 本当にお疲れさまでした。 感動をありがとう！！！ pic.twitter.com/trfq0jH3Pu
Sat Aug 15 01:37:54 PDT 2015 --  りくやーたのむ！！！！ うってくれ！！！
Fri Aug 14 20:40:31 PDT 2015 --  作新バス甲子園到着！
Fri Aug 14 19:44:19 PDT 2015 --  いろんな意味で甲子園やばいw
Fri Aug 14 04:30:48 PDT 2015 --  1日目大阪お疲れ様。 明日の作新応援頑張ろう！ pic.twitter.com/QiJAlin6bv
Thu Aug 13 21:12:47 PDT 2015 --  OSAKA！！！ pic.twitter.com/GMGCFSgdQE
Thu Aug 13 08:03:38 PDT 2015 --  みきや誕生日おめでとう 明日からの大阪、甲子園の旅楽しみましょう！！！ pic.twitter.com/Fhq7dMn0OP
Thu Aug 13 06:44:59 PDT 2015 --  ついにiPhone6に！！！
Wed Aug 12 04:51:10 PDT 2015 --  甲子園で5打数3安打とか さすがですわwww
Wed Aug 12 01:50:08 PDT 2015 --  【甲子園／作新学院】3回戦は大会10日目（15日・土曜日）の第4試合。対戦相手は「あす行われる4試合の勝者のいずれか」に決定。 ＜広島新庄×早実＞＜東海大甲府×下関商＞＜大阪偕星×九州国際大附＞＜敦賀気比×花巻東＞のどこかです。 ※あさっての3試合の勝者の次戦は16日となります
Tue Aug 11 04:17:19 PDT 2015 --  作新がんばれ〜！ 陸哉応援してます！！！ pic.twitter.com/DugveebjY1
Mon Aug 10 18:57:49 PDT 2015 --  オコエ瑠偉いきなり魅せる！ 素晴らしい打球に好走塁！ pic.twitter.com/tyUbkHQaa3
Mon Aug 10 07:32:59 PDT 2015 --  熱闘甲子園泣けるわ〜
Mon Aug 10 02:51:11 PDT 2015 --  adidas。 pic.twitter.com/DXeY5ntBPV
Sat Aug 08 07:44:23 PDT 2015 --  楽しかった ありがとう！！！
