Fri Aug 28 14:03:17 PDT 2015 --  Horrible! https://twitter.com/people/status/637369104278683648 …
Fri Aug 28 12:37:07 PDT 2015 --  Thinking about my little friend Chloe tonight who is poorly ;( @ChloeBalloqui #SaveChloe #WeCanBeatThis pic.twitter.com/jJpbeINnXf
Fri Aug 28 04:30:00 PDT 2015 --  LILO having too much fun @zuzuv11 https://instagram.com/p/67Og2zN39EtLiwvEXhI8eGHGxqMav9YJSAJZg0/ …
Fri Aug 28 04:22:01 PDT 2015 --  There are no words @zuzuv11 https://instagram.com/p/67NmmWN37Rozs2z5M9B58R35VWxHCUQSm5Ri00/ …
Thu Aug 27 22:02:16 PDT 2015 --  This one's just for momma! @zuzuv11 https://instagram.com/p/66iJfQN32dCdUDwlvkoJ09-UQYhXHe_V0H9MU0/ …
Thu Aug 27 21:43:31 PDT 2015 --  Thank you Cleveland. You were a lot of fun tonight. Thanks for having us. Hope you enjoyed the show. H
Thu Aug 27 21:43:29 PDT 2015 --  Oh Harry @zuzuv11 https://instagram.com/p/66f_01t3zkB3KgzJMMC1lz2VPLGp6k3meFFIA0/ …
Thu Aug 27 21:37:45 PDT 2015 --  That moment when Liam blows you a kiss @zuzuv11 https://instagram.com/p/66fVzGN3y5v6EDlwCF7BD8hmu2nONFjBNxzHk0/ …
Thu Aug 27 20:25:22 PDT 2015 --  This is the one we've been waiting all summer for - 1D in Cleveland!!!… https://instagram.com/p/66XECXN34TWJIg_1MTmrYHeF6F13kASnwLpyA0/ …
Thu Aug 27 14:51:22 PDT 2015 --  Cleeeeeeeeeeeeveland.
Thu Aug 27 13:50:24 PDT 2015 --  The boys have just arrived at @FEStadium 1D is in Cleveland!!!!! pic.twitter.com/XE4ddEe1pY
Wed Aug 26 19:15:10 PDT 2015 --  If someone gives you advice, respond with "you're right". It sounds more diplomatic than "I know."
Wed Aug 26 18:09:26 PDT 2015 --  . @chrishurstwdbj: "Alison and Adam carried no hate in their heart, and expressed no hate or ill will." #KellyFile pic.twitter.com/l9msQHZlxO
Wed Aug 26 18:07:48 PDT 2015 --  . @chrishurstwdbj: "She texted me 'Good night, sweet boy' and that was the last that I had ever heard from her." pic.twitter.com/UrVWp19hWs
Wed Aug 26 18:06:46 PDT 2015 --  Andy Parker: "I've been alternating between the shock and the grief." #KellyFile pic.twitter.com/mGzP2C2RZU
Wed Aug 26 18:11:24 PDT 2015 --  Andy Parker: "According to law enforcement that I talked to here, she didn't suffer. At least that's some solace." pic.twitter.com/lCN9PWdkSr
Wed Aug 26 16:00:03 PDT 2015 --  IM WEARING NIALLS JERSEY TOMORROWWW ALDHUDKEIN pic.twitter.com/s9XWIVH6Va
Wed Aug 26 13:55:19 PDT 2015 --  Happy #nationaldogday https://instagram.com/p/63FoUKN34AoIq-PIoJJdR-Bl_yFcSUceNd4-k0/ …
Wed Aug 26 13:33:29 PDT 2015 --  Cleveland teen reported missing http://on.wkyc.com/1JmKB3h  via @WKYC
Wed Aug 26 12:38:01 PDT 2015 --  One last chance to win 2 tix to #OTRACleveland tomorrow! RT & spread the word about our show policies: http://bit.ly/1U2VkIc  Winner @ 7pm!
Tue Aug 25 20:35:34 PDT 2015 --  pic.twitter.com/oJnfMiJYNh
Tue Aug 25 21:33:48 PDT 2015 --  im still selling 2 floor tickets to #OTRACleveland $100 each!!! pic.twitter.com/uAmiSuaAtK
Mon Aug 24 16:21:08 PDT 2015 --  @Mlovegodlovato couldn't help but provoke this
Mon Aug 24 16:11:43 PDT 2015 --  @Louis_Tomlinson i feel like when u start back up again u guys will be so fucking good!
Mon Aug 24 16:06:58 PDT 2015 --  
Mon Aug 24 10:34:33 PDT 2015 --  IM SELLING 2 FLOOR TICKETS FOR #OTRACleveland $100 EACH. I ALSO HAVE 2 LOWER BOWL FOR $75 EACH.DM ME IF INTERESTED. pic.twitter.com/AtgM7Gn4ok
Mon Aug 24 10:32:28 PDT 2015 --  SELLING 2 FLOOR SEATS ($100 each) & 2 LOWER BOWL ($75 each) for #OTRACleveland. DM if interested
Mon Aug 24 10:16:15 PDT 2015 --  IM SELLING 2 FLOOR TICKETS FOR #OTRACleveland $100 EACH. I ALSO HAVE 2 LOWER BOWL FOR $75 EACH.DM ME IF INTERESTED. pic.twitter.com/fCwnCaUNWN
Sun Aug 23 16:16:06 PDT 2015 --  R. L. Stine, author of the Goosebumps series, avoids nonfiction: “I never read it. I hate anything real.” By the Book http://nyti.ms/1JsTtFE 
Sun Aug 23 17:20:57 PDT 2015 --  The perfect wine to pair with #FearTheWalkingDead pic.twitter.com/1IBfd0pPj3
Sun Aug 23 16:48:09 PDT 2015 --  I entered to win a VIP concert experience with Ed Sheeran from @wkyc and could meet him! You should enter too! http://ulink.tv/7367-1f1v9t_twt 
Sun Aug 23 09:00:46 PDT 2015 --  Are you signed up for an obstacle race? If you are then this is a must-do workout. http://ow.ly/Rfm68  pic.twitter.com/QtmZ8Y6bfQ
Sat Aug 22 17:07:17 PDT 2015 --  I entered to win a VIP concert experience with Ed Sheeran from @wkyc and could meet him! You should enter too! http://ulink.tv/7367-1f1gln_twt 
Sat Aug 22 10:33:20 PDT 2015 --  Great night with my girl!!! #5sos #rowyso @zuzuv11 @ Quicken Loans Arena https://instagram.com/p/6sbVZ7N3_4SEONtJeiLFMoABJtqq9JltVHPhM0/ …
Fri Aug 21 11:45:44 PDT 2015 --  Getting ready to meet 5 Seconds Of Summer with my girl @zuzuv11 (must… https://instagram.com/p/6p-01Nt3-KKy3hwlj_3qrSe7pRaj3uqNryLjc0/ …
Fri Aug 21 07:20:03 PDT 2015 --  Hey, @Michael5SOS. I love you a lot (and so does everyone else) WeLoveYouMichael http://on.mtv.com/1JmPA5g 
Fri Aug 21 07:45:14 PDT 2015 --  Every scar has a story. Don't be afraid to tell it.
Thu Aug 20 22:31:06 PDT 2015 --  Here's the Drag Me Down video. Thank you for all your amazing support on this single http://vevo.ly/VtsVaB 
Thu Aug 20 19:27:04 PDT 2015 --  8 reasons young girls of the '90s needed Jessie Spano: http://huff.to/1K9oajV 
Thu Aug 20 19:38:47 PDT 2015 --  Dude hitting it in church clothes pic.twitter.com/ImaFzK7NIa
Thu Aug 20 19:49:02 PDT 2015 --  If you don't fit in, you're doing something right.
Thu Aug 20 20:00:53 PDT 2015 --  Hey everyone! This is a student-run account to keep you updated on the events and activities of the Magnificat Dance Team! Spread the word!
Thu Aug 20 18:23:43 PDT 2015 --  Squat hmmm? #fitspo #bodybuilding #ifbb #crossfit #squat pic.twitter.com/WBQr8ErXsl
Thu Aug 20 16:52:04 PDT 2015 --  when harry gives u a little show at otra https://vine.co/v/eDi9gZ12Oxw 
Thu Aug 20 08:52:32 PDT 2015 --  God I love this boy! #mustbedoingsomethingright @poochiev34 https://instagram.com/p/6nGNbxN31cTdndWhcl98NtPrgv-_A412duuJE0/ …
Wed Aug 19 19:01:51 PDT 2015 --  Thank you for such a warm welcome in Columbus last night. Hope you had a good time. Thanks for having us. H
Wed Aug 19 14:45:30 PDT 2015 --  Do all the good you can, to as many people as you can, as often as you can.
Wed Aug 19 04:17:36 PDT 2015 --  Here we go . . . #backtoschool #myboys @ The Viancourt Palace https://instagram.com/p/6kB8zNt3ztNB-xVFZ4boG5wdWXYlQ330OBrmU0/ …
Tue Aug 18 16:21:28 PDT 2015 --  1D OTRA round 2 with this girl!!! @zuzuv11 @ Ohio State University… https://instagram.com/p/6iv_wZt34C0zb0DjqZRgwOUVAIQQvNIBYmEUM0/ …
Tue Aug 18 10:29:55 PDT 2015 --  Niall looks so small coz ernie els is about 6 ft 5 https://twitter.com/candiedhes/status/633652061838573568 …
Mon Aug 17 10:08:04 PDT 2015 --  rt if you are going to OTRA Columbus tomorrow!
Sun Aug 16 16:16:26 PDT 2015 --  Watch @ScottEastwood whip & nae nae on the #TeenChoice blue carpet! #ChoiceNaeNaeScott pic.twitter.com/6HT4vUOrF3
Sun Aug 16 13:10:24 PDT 2015 --  My bubba! #boysoffall #eagles @kadynviancourt @hteaglesfb pic.twitter.com/zUI7resxhw
Sun Aug 16 13:05:38 PDT 2015 --  My bubba! kadynviancourt28 #boysoffall #eagles https://instagram.com/p/6dP_lLN3xIZJfAbHdcKHAnnmFdlIfSe7iIuW80/ …
Sun Aug 16 09:13:52 PDT 2015 --  Noooo Herschel!!! #TheWalkingDeadMarathon https://twitter.com/walkingdead_amc/status/632941222487851009 …
Sat Aug 15 18:45:09 PDT 2015 --  “The Lord doesn’t put people in your path that aren’t supposed to be there.” - @MrsDogC. #preach #CMTDogAndBeth
