Mon Aug 10 06:37:16 PDT 2015 --  
Sun Aug 02 15:31:36 PDT 2015 --  Time to follow people back x
Fri Jul 31 07:44:21 PDT 2015 --  Have u hear one direction new album it is brilliant I guess u love it https://twitter.com/pointlessblog/status/627125999298347008 …
Fri Jul 31 06:55:04 PDT 2015 --  ALSO, DRAG ME DOWN IS AMAZING! Pretty sure @PointlessBlog will be playing it on repeat for the next few weeks
Sun Jul 26 07:05:52 PDT 2015 --  #SUNDAY
Wed Jun 24 20:41:05 PDT 2015 --  Definitely just pocket tweeted
Wed Jun 24 20:39:56 PDT 2015 --  Had an e##
Wed Jun 24 15:57:16 PDT 2015 --  pic.twitter.com/FHh5cW4SRK
Tue Jun 23 23:00:58 PDT 2015 --  I want to be a vlogger https://twitter.com/pointlessblog/status/613456225867538432 …
Tue Jun 23 23:00:26 PDT 2015 --  Alfie I want to be a vlogger so much do u have any tips I'm only 13 https://twitter.com/pointlessblog/status/613449505581727744 …
Sun Jun 21 16:58:54 PDT 2015 --  Directioners did it! Congrats to the boys on taking the award for Fan Fave International Group. #MMVA pic.twitter.com/eTRXQEvqwd
Sun Jun 21 19:30:29 PDT 2015 --  We won Fan fav international group #MMVA pic.twitter.com/J8VVXki0pF
Sun Jun 21 20:37:55 PDT 2015 --  Insane! Photos Taken at JUST the Right Moment.. wow! http://po.st/RightPhotos 
Wed Jun 17 10:27:35 PDT 2015 --  I'm backing Harry Kane for the @EASPORTSFIFA FIFA 16 cover #votekane now http://www.fifa16cover.co.uk  . Defo deserves it ! Doing it for England!
Thu Jun 18 17:08:29 PDT 2015 --  Kisstory radio station just play banger after banger !! Love it !
Sun Jun 21 10:47:26 PDT 2015 --  Great finish !! https://twitter.com/uefaunder21/status/612677019541864449 …
Thu Jun 18 14:41:49 PDT 2015 --  I've gone past tired
Wed Jun 17 11:13:15 PDT 2015 --  Bitches get out of my way I have had enough
Tue Jun 16 10:24:51 PDT 2015 --  Or no had to many last night https://twitter.com/niallofficial/status/610849654922715136 …
Tue Jun 16 10:24:28 PDT 2015 --  Hope u are enjoying ur holiday https://twitter.com/pointlessblog/status/610820181779181568 …
Sat Jun 13 20:24:57 PDT 2015 --  These are The Funniest Pictures EVER According To Google.. wow! http://po.st/FunnyPicxx 
Sat Jun 13 21:13:46 PDT 2015 --  Hey if you're in the lobby of my hotel, I'm about to film a few things for my video, join me lol...like a dance party
Sat Jun 13 02:15:10 PDT 2015 --  Went to see the lads last night and they were sickkkkkk ! Congrats boys https://instagram.com/p/33SrizsyPP/ 
Fri Jun 12 11:49:04 PDT 2015 --  #DaddySaid2BadBloodCover @taylorswift13 @kendricklamar https://youtu.be/f-Jw9RusKmg  Such a CooL track love it :) Please R.T #TaylorSwift
Sat Jun 13 17:53:58 PDT 2015 --  And sleeep! Thanks Brussels that was insane
Sat Jun 13 12:48:26 PDT 2015 --  18's my favourite song off of the album & apparently they're going to start singing it live?!
Sat Jun 13 16:17:04 PDT 2015 --  Finally ! 18 and no control in the set , we needed that extra few days rehearsal on them! It felt so good to play new choonesssss !
Thu Jun 11 07:24:52 PDT 2015 --  The boys in Vienna #1DVienna #1dupdatesonline #1DForMMVA pic.twitter.com/cxs6pRB54e
Thu Jun 11 07:25:26 PDT 2015 --  Niall in Vienna #1DVienna #1dupdatesonline #1DForMMVA pic.twitter.com/dVnveEBeo0
Wed Jun 10 19:34:12 PDT 2015 --  This is What Happens When Really Big Animals Give You Big Hugs.. http://po.st/AnimalsHugs 
Wed Jun 10 23:36:08 PDT 2015 --  These are the Most Terrifying-Looking Gang In The World.. eww! http://po.st/GangPhotos 
Wed Jun 10 09:00:52 PDT 2015 --  These People Don't Care About Any Rules.. haha http://po.st/RulesPhotos 
Wed Jun 10 09:04:19 PDT 2015 --  Con's bass even looks good on the rack https://instagram.com/p/3wTHljLmpj/ 
Wed Jun 10 09:15:04 PDT 2015 --  US! First round of #TeenChoice nominees are here, and 1D is nominated in 3 @TeenChoiceFOX categories! Vote now: http://www.teenchoice.com/ 
Wed Jun 10 00:31:17 PDT 2015 --  Niall got 10M on instagram last night ♡
Wed Jun 10 02:02:02 PDT 2015 --  Stuck in the car outside shops pic.twitter.com/POOotxk109
Wed Jun 10 02:43:04 PDT 2015 --  No, sorry https://twitter.com/sophiaadaya/status/608567357036982272 …
Wed Jun 10 03:18:57 PDT 2015 --  Happy birthday David Platt. Here are the former @england man's 4 goals v San Marino at #Wembley in… https://instagram.com/p/3vrmEeSSb6/ 
Wed Jun 10 01:04:29 PDT 2015 --  The Liberty Stadium is recruiting for Casual Host & Hostesses to work on match days - http://po.st/hJsxq9  #swans pic.twitter.com/A0WV49rHCP
Tue Jun 09 15:13:11 PDT 2015 --  These are the Funniest Marriage Proposal .. haha http://po.st/FunnyPropose 
Tue Jun 09 19:22:04 PDT 2015 --  After Seeing These Photos You'll Be Surprised That They Aren't Photoshopped.. wow! http://po.st/TruePhotos 
Tue Jun 09 10:03:39 PDT 2015 --  3 SIGNIFICANT FIGURES ALFIE, NOT 3 DECIMAL PLACES
Tue Jun 09 10:04:17 PDT 2015 --  Saturday was brilliant thanks @onedirection @Real_Liam_Payne @NiallOfficial @Harry_Styles @Louis_Tomlinson pic.twitter.com/Zwe6KUFSH6
Tue Jun 09 07:19:01 PDT 2015 --  A message… x Absolutely cannot wait to perform live again, thank you all for waiting for me!! https://amp.twimg.com/v/f0f4a3f8-7d57-409f-b15c-fca046b19709 …
Tue Jun 09 08:21:00 PDT 2015 --  Oops... Too many bubbles? pic.twitter.com/0v5eFW5Cyo
Tue Jun 09 08:18:17 PDT 2015 --  Gonna put "great water pressure" in my faves this month. (That was just a joke...) 🏼
Tue Jun 09 08:12:45 PDT 2015 --  I feel like this is the most grown up tweet I've ever done, but we got the water pressure in the house fixed & now I can have bubbles again!
Tue Jun 09 08:16:43 PDT 2015 --  THIS IS WHAT DRRREEEEEAMS ARE MADE OF 🏽 pic.twitter.com/hBvEFSrZcU
Tue Jun 09 08:27:03 PDT 2015 --  Let me here Ya say Fredo ! https://twitter.com/alfredoflores/status/608248120883838977 …
Tue Jun 09 08:28:17 PDT 2015 --  *cough* instagrams posted on Twitter *cough*
Tue Jun 09 08:52:03 PDT 2015 --  Which one will you watch first? Thats the question I wanna know x
Tue Jun 09 08:56:54 PDT 2015 --  These are the Dumbest People on the Internet.. lol http://po.st/InternetDumb 
Tue Jun 09 09:00:02 PDT 2015 --  Lilo aww #1dupdates #1DForMMVA pic.twitter.com/pvM6lADyJc
Tue Jun 09 09:00:26 PDT 2015 --  New Video: REACTING TO YOUR VIDEOS! Show it some love http://youtu.be/bgqUgYLyA64 
Tue Jun 09 09:19:23 PDT 2015 --  New Daily Vlog: MY NEW APPLE WATCH! http://youtu.be/b17N2siLhaU?a 
Tue Jun 09 09:22:11 PDT 2015 --  chump head = the best compliment ever
Tue Jun 09 09:56:57 PDT 2015 --  I have the socceroos one that I got when I was there last , when you playing again? https://twitter.com/caitlinfoord/status/608311508595032064 …
