Fri Aug 28 22:07:11 PDT 2015 --  I just can't.
Fri Aug 28 21:50:05 PDT 2015 --  Haven't been able to sleep through the entire night for the past month and a half. How's your life treatin ya?
Fri Aug 28 18:18:29 PDT 2015 --  Happpyyy Friday night
Fri Aug 28 15:44:12 PDT 2015 --  Oh man I forgot to shave my big toe. I'm sorry nail tech
Fri Aug 28 14:37:17 PDT 2015 --  My #OOTD #BeetleJuice shorts. First time wearing them in over a year and I don't know why I've… https://instagram.com/p/68UBVOF2p7/ 
Fri Aug 28 08:57:04 PDT 2015 --  Pumped for October 19th. So I can see all my babes @ThisIsPVRIS @bmthofficial @issues
Fri Aug 28 08:42:02 PDT 2015 --  Ill be sleeping all day if you need me. So.. Hope you don't need me
Thu Aug 27 05:57:17 PDT 2015 --  Today is Thursday and I'm off work and school tomorrow I'm going to sleep alllll day. And I cannot wait
Wed Aug 26 16:07:49 PDT 2015 --  Client told me I look like @LYNNGVNN best compliment ever.And favorite client award since she knew who she was and listens to good music
Wed Aug 26 06:54:46 PDT 2015 --  It's national dog day so here's all the puppies in my life I love so very much pic.twitter.com/ne2hrlx4Qs
Wed Aug 26 06:28:30 PDT 2015 --  In honor of #NationalDogDay come get your brows waxed and a hair cut and help donate to our local… https://instagram.com/p/62SfmxF2li/ 
Wed Aug 26 05:55:16 PDT 2015 --  Today I look and feel like I've been hit by a bus, so sorry if you have to see me
Tue Aug 25 21:22:44 PDT 2015 --  " it's going to be completely worth it in the end"- the words on repeat in my head every day all day.
Mon Aug 24 21:34:40 PDT 2015 --  An entire month without tyler is way too long
Fri Aug 21 22:43:39 PDT 2015 --  All girls are psycho when it comes to their boyfriend. It's just a fact.
Mon Aug 24 20:16:22 PDT 2015 --  The older we get the more broken we become
Mon Aug 24 19:27:52 PDT 2015 --  Mother of god my life is full of literally nothing but awkwardness
Sun Aug 23 21:11:52 PDT 2015 --  I need a fresh start
Sun Aug 23 20:34:08 PDT 2015 --  Tomorrow will be the beginning of me living out of my car and major sleep deprivation. I pray the extra hours at school are worth it!
Sun Aug 23 18:45:53 PDT 2015 --  First time doing absolutely nothing all day in a loong time. It's been quite nice
Sun Aug 23 18:32:21 PDT 2015 --  Can I be that bitch that makes a legit living just off of makeup YouTube tutorials?!
Sun Aug 23 18:28:39 PDT 2015 --  This is something @tylersempire would do. Lmao https://twitter.com/grannywinkle/status/635505478794092544 …
Sun Aug 23 16:50:00 PDT 2015 --  Ready for a life time full of adventures with you
Sun Aug 23 12:07:08 PDT 2015 --  Hair goals pic.twitter.com/obl0f5EPCx
Sun Aug 23 11:43:52 PDT 2015 --  So excited for yellow and red leaves did I mention I love fall
Sun Aug 23 06:13:30 PDT 2015 --  When people who don't fuck with you still views your snapchat story pic.twitter.com/Vr050W3pOc
Sat Aug 22 20:15:31 PDT 2015 --  Donuts sound so good right now
Sat Aug 22 19:52:53 PDT 2015 --  I need my best friend back.
Sat Aug 22 12:32:32 PDT 2015 --  I can't wait for flannel every day and combat boots weather
Fri Aug 21 22:48:00 PDT 2015 --  I just want my hair to be down to my butt already 🏽
Fri Aug 21 22:03:15 PDT 2015 --  I just wish I knew what the hell I was doing with my life
