Thu Aug 27 09:16:17 PDT 2015 --  Hört sich für mich plausibel an... https://twitter.com/Frau_NPunkt/status/636929269080395776 …
Thu Aug 27 09:01:12 PDT 2015 --  Vielfalt auf #Instagram - Die Grundregeln für Marketer http://bit.ly/1KQjECZ 
Thu Aug 27 09:02:18 PDT 2015 --  Vor 6 Wochen. "Hi, ich bin Ecki." "Hi, ich bin Teresa." Seitdem kein Wort. Kollege des Jahres.
Wed Aug 26 00:45:33 PDT 2015 --  Hier ein kurzer Video-Überblick über die Beiträge der Ausgabe #55 mit @schuelke88 #SEO #SEA #ECOMMERCE https://www.youtube.com/watch?v=f1D6mnLa3zk …
Tue Aug 25 23:59:00 PDT 2015 --  Absolut lesenswert... https://twitter.com/WDR/status/636158773569155072 …
Wed Aug 26 00:35:48 PDT 2015 --  Noch eine ultimative Anleitung und auf jeden Fall hilfreich: https://twitter.com/bjoerntantau/status/636439798597713920 …
Wed Aug 26 00:28:25 PDT 2015 --  suchradar-PDF #55 downloaden. Themen rund um #SEO #SEA #ECOMMERCE + #Relaunch als Schwerpunkt http://www.suchradar.de/magazin/  pic.twitter.com/2FQkLGFK78
Wed Aug 26 00:33:28 PDT 2015 --  Und mit GROOOßEM Artikel zu #Twitter Ads. Quasi eine ultimative A bis Z Anleitung. :-) https://twitter.com/schuelke88/status/636440523570573312 …
Fri Aug 21 13:21:54 PDT 2015 --  Schließe heute offensichtlich eine Bildungslücke: Schaue den #Minions Film...
Wed Aug 19 13:14:16 PDT 2015 --  Ich glaube, das ist was für diese Spiegel-Kolumne "Der seltsame Patient" oder so was? https://twitter.com/Grantscheam/status/633859584126492672 …
Sun Aug 16 12:06:02 PDT 2015 --  Worst case ist eingetreten: #Amazon Instant Video ist down und #Tatort zeigt den alten Münster Schnulzensänger-Tod. Ich geh ins Bett...
Sat Aug 15 11:30:18 PDT 2015 --  Kurze Testphase, leere Versprechungen: Was du bei der #ConversionOptimierung falsch machen kannst http://bit.ly/1WoQ7Jm 
Sat Aug 15 11:21:08 PDT 2015 --  Könnte jemand dann noch meine Familienfeier mit aufnehmen? Gerne den Intensivkurs! https://twitter.com/7_gscheid/status/632437000772157440 …
Wed Aug 12 06:34:41 PDT 2015 --  Blut aus Pflanzen? @Bojerlanski über kuriose Entwicklungen in der Lebensmittel- & Konsumwelt: http://bit.ly/1KhusK6  pic.twitter.com/Y39ZSJ0Nmy
Mon Aug 10 12:37:03 PDT 2015 --  #DLFMeinung Kein Verfahren gegen http://Netzpolitik.org  - Wirklich dicke Bretter http://dlvr.it/BpQHcK 
