Fri Aug 28 23:21:03 PDT 2015 --  I want a blue nosed pit so bad now
Fri Aug 28 22:56:01 PDT 2015 --  What am I doing with my life??
Fri Aug 28 22:42:50 PDT 2015 --  I swear my Xbox is ALWAYS wanting me to update something
Fri Aug 28 22:41:34 PDT 2015 --  Kool Aid & Frozen Pizza
Fri Aug 28 22:38:36 PDT 2015 --  She wants diamonds she wants gold
Fri Aug 28 22:37:37 PDT 2015 --  sc- babii_aye
Fri Aug 28 22:21:46 PDT 2015 --  I ain't no hipster but girl I can make your hips stir
Fri Aug 28 22:20:52 PDT 2015 --  Just gonna vibe to Mac Miller all night
Fri Aug 28 22:17:32 PDT 2015 --  We party all around the worldddd
Fri Aug 28 22:16:59 PDT 2015 --  @xoanastasiaaa every song is
Fri Aug 28 22:14:34 PDT 2015 --  I never thought life would be this sweet, its got me cheesin from cheek to cheek
Fri Aug 28 22:11:59 PDT 2015 --  BDE
Fri Aug 28 22:08:22 PDT 2015 --  Mac will always be my favorite
Fri Aug 28 22:02:53 PDT 2015 --  Ladies and gentlemen, this is Macadelic
Fri Aug 28 21:25:01 PDT 2015 --  I see you and me riding like Bonnie and Clyde, Goin ninety five burning down one twenty nine #BrantleyGilbert
Fri Aug 28 19:55:56 PDT 2015 --  If I would have saved all the money I blew this summer I could have had such a nice truck and it hurts thinking about it
Fri Aug 28 16:41:34 PDT 2015 --  I hate coming to work because all I wanna buy are subs and cookies and that's too much money for me to be spending
Fri Aug 28 13:30:36 PDT 2015 --  a great relationship doesn't mean everything is perfect. it means you love them enough to look past the things that aren't.
Fri Aug 28 16:30:35 PDT 2015 --  I have this habit of not being able to control my facial expressions when someone says something stupid or annoying.
