Sun Aug 16 10:07:50 PDT 2015 --  ma beauté elle fait grève depuis ma naissance
Fri Aug 28 09:17:31 PDT 2015 --  Tu largue ta meuf psq elle est jalouse, mais si elle es jalouse ces quel t'aime pd.
Fri Aug 28 02:32:14 PDT 2015 --  A. https://twitter.com/drewskiiis/status/629771512040542208 …
Fri Jun 26 13:48:51 PDT 2015 --  J'AI PASSE PLUS DE 100 vines pour LE RETROUVER MDRRR, CA VALAIT LE COUP https://vine.co/v/eiPzmHEEUHm 
Mon Aug 24 16:20:00 PDT 2015 --  j'métais donner un but cet été c'était de faire du sport de perdre des kilos mais ptdR mtn j'ressemble a gloria l'hippopotame
Thu Aug 27 19:21:35 PDT 2015 --  Moi quand j'suis énerver sois je te fait la gueule et je te réponds plus, sois je te fait un paragraphe argumentée de 150lignes
Thu Aug 27 15:41:17 PDT 2015 --  Connard!, Connard!, Connard!, Connard!, Connard!, Connard!, Connard!, Connard!, Connard!! Ntr j'te baise!
Thu Aug 27 15:37:42 PDT 2015 --  J'suis l'genre de personne a allumer la Tv atterrir sur un programme pourri mais avoir la flemme de changer de chaîne
Thu Aug 27 03:50:57 PDT 2015 --  Pourquoi il a fait ça https://vine.co/v/eAEjZ333Vi1 
Wed Aug 26 17:10:15 PDT 2015 --  Ptdrrr pic.twitter.com/AeUnSFLTdk
Wed Aug 26 16:30:44 PDT 2015 --  https://twitter.com/amineposey/status/634707658705108992 …
Wed Aug 26 15:24:48 PDT 2015 --  Moi : Bon faut que je commence à me coucher tôt pour me régulariser Séries : T'es sûr ? Twitter : T'es sûr ? Snap : T'es sûr ?
Tue Aug 25 04:46:31 PDT 2015 --  Seul les vrais regardent ce gif jusqu'à la fin pic.twitter.com/yEsXWrAgiI
Wed Aug 26 15:52:56 PDT 2015 --  Ptdrrrrr ces quoi sont problème ? pic.twitter.com/UeGymGPYZ1
Wed Aug 26 15:10:49 PDT 2015 --  Mon père c'es un fou il reste debout dans le noir à regarder la Tv et à nous faire peur quand on descend au salon
Tue Aug 25 04:21:58 PDT 2015 --  Il me manque.. @AdrienMusto
Sat Aug 22 15:29:31 PDT 2015 --  
Mon Aug 17 16:05:51 PDT 2015 --  Y'a des meuf elle vont changer d'coupe d'cheveux elle vont changer et y'a moi j'peux faire tte les coupe je ressemblerai tjs a une pistache
Sun Aug 16 16:19:13 PDT 2015 --  Mdrr c'trop moche comment les gens peuvent acheter des choses pareil ptdr ^^ https://twitter.com/LeMasculiste/status/632256175074099200 …
Sun Aug 16 16:18:32 PDT 2015 --  L'inspecteur gadjet il es trop con en vrai c'es un assisté,c'es le chien et sa nièce qui le sorte de toute les merde ou il s'met s'con ptdr
Sun Aug 16 16:03:05 PDT 2015 --  L'interview dans le @7a8 de @MPOFFICIAL était génial, tu es incroyable, formidable ! On t'aime continue ce que tu fait ses génial !! :* <3
Sun Aug 16 10:22:48 PDT 2015 --  Aller go resto, bonne soirée a tous ! :*
Sun Aug 16 08:18:59 PDT 2015 --  Y'a que moi qui ses pas mettre une couette dans sa housse ? J'ai l'impression c'est un labyrinthe le bordel ntr :(
Sun Aug 16 08:17:30 PDT 2015 --  J'comprend ps les séries,l'mec y vient de se faire embarquer par les flics en apprenant qu'sa gow est morte et lui es la en mode j'men blc
Sun Aug 16 07:22:00 PDT 2015 --  J'veux des followers #jyzeevo
Sun Aug 16 06:17:06 PDT 2015 --  Dans le film Alice aux pays des merveilles y sont tous défoncé il on du se mettre bien en écrivant le script ses cons mdrr
Sun Aug 16 05:30:12 PDT 2015 --  Comment y'a rien a faire le dimanche ta envie de dormir toute la journée limite
Sat Aug 15 18:40:21 PDT 2015 --  3h40 Good Night
Sat Aug 15 14:48:44 PDT 2015 --  C'quoi le délire la les personnes les plus intéressante habite loin, sa fou le seum un peu
Sat Aug 15 13:32:29 PDT 2015 --  En vac tu dort a 3-4heures du mat' tu te lève vers midi 13h voir plus tard, mais dans 15 jours on va se levé a 5h du mat' :( Ntr
Sat Aug 15 10:07:26 PDT 2015 --  Ton sourire *_* @Gab_C_oim
Sat Aug 15 07:48:48 PDT 2015 --  Toute ma famille crois que j'ai un copain caché, il est tellement bien caché que même moi je le connais pas !
Sat Aug 15 07:42:27 PDT 2015 --  On es déjà le 15 août on peut pas recommencer les vacances ? J'était pas prête ! :(
Sat Aug 15 07:29:05 PDT 2015 --  Les mecs y disent que les meufs sont chiante mais vous alors vous nous ditent adieux et le lendemain vs envoyé un msg comme des victimes :')
Fri Aug 14 16:48:36 PDT 2015 --  Y'a des gens comme sa tu leur parle un jour il se voit déjà en couple, marié avec toi les fouuu ! :')
Fri Aug 14 16:22:25 PDT 2015 --  Imagine qu'elle fasse une opération pour retrouver la vue t'es dans la merde un peut ! :p @Yanis_Debit @YansDjz
Fri Aug 14 16:16:16 PDT 2015 --  Tu joue avec quel équipe ? Tu gagne ? ;) @Panamigo__
Fri Aug 14 16:09:46 PDT 2015 --  Quand tu t'épile les jambe il y a toujours une ligne de poile qui reste, qui font les tugs du genre " T'ma oublier j'tes niquer"
Fri Aug 14 16:06:37 PDT 2015 --  J’espère pour toi alors ! @GralleThomas
Fri Aug 14 16:03:25 PDT 2015 --  Quelqu'un pense a toi ses sa ? :p @GralleThomas
Fri Aug 14 16:00:37 PDT 2015 --  1 heure du matin petite faim, un petit mars glacée sa fait du bien miam :3
