Fri Aug 28 22:21:46 PDT 2015 --  Work early tomorrow so set all @NBCSportsSoccer games to record! #EPL @ChelseaFC
Fri Aug 28 22:03:01 PDT 2015 --  Addict. #BPLonNBC pic.twitter.com/aB8JBzwU7U
Fri Aug 28 06:23:17 PDT 2015 --  No sign of Koscielny or Mertesacker during this mornings' final training session #AFC
Thu Aug 27 16:26:23 PDT 2015 --  @MenInBlazers My wife was forced to #EmbraceTheBald, but now her hair is already longer than mine! #breastcancer pic.twitter.com/xL4OCINUBU
Sun Jul 12 12:09:15 PDT 2015 --  @DeludedBrendan Blocked.
Tue Aug 25 17:55:16 PDT 2015 --  I vote for #ToughEnoughJosh
Tue Aug 25 17:34:33 PDT 2015 --  I vote for #ToughEnoughSara
Sat Aug 22 15:34:41 PDT 2015 --  Montreal are you ready for this???? #touspourgagner #fortheloveofthegame #montreal #impact #threepointsneeded pic.twitter.com/ZE8C0x3AR9
Sat Aug 22 11:42:49 PDT 2015 --  #Love waking up in the morning and recording all of the @Bundesliga_EN games on @FOXSports1 then watchin them late at night. #football
Sat Aug 22 09:39:05 PDT 2015 --  Eddie Howe on Callum Wilson's hat-trick: "Callum is a huge part of what we're doing at the moment and I am delighted with him." #AFCB
Sat Aug 22 06:15:34 PDT 2015 --  Been informed Yannick Bolasie's father has passed. That's the reason he's not in squad. Thoughts with him and his family. #cpfc
Fri Aug 21 08:15:09 PDT 2015 --  I used @Onefootball to create #MySeasonPreview for Primera División http://app.onefootball.com/#!/en/season-prediction-results?q1=10&q2=5&q3=1248-687-214&q4=28&q5=26&q6=823 … #myseasonpreview #win
Fri Aug 21 08:13:20 PDT 2015 --  I used @Onefootball to create #MySeasonPreview for Bundesliga http://app.onefootball.com/#!/en/season-prediction-results?q1=1&q2=6&q3=167-789&q4=162&q5=144&q6=1992 … #myseasonpreview #win
Fri Aug 21 08:09:18 PDT 2015 --  I used @Onefootball to create #MySeasonPreview for Premier League http://app.onefootball.com/#!/en/season-prediction-results?q1=9&q2=209&q3=208-580-622&q4=567&q5=198&q6=78 … #myseasonpreview #win
Fri Aug 21 05:54:29 PDT 2015 --  San Isidro earn £320k from Pedro's transfer & here's what they're spending it on. Wise move - http://sqwk.at/PedroMoney  pic.twitter.com/JZ0Eb5tp1b
Thu Aug 20 13:59:32 PDT 2015 --  You gave us so much to remember @_Pedro17_ #GràciesPedro pic.twitter.com/GzYwd3Aqa0
Thu Aug 20 18:25:05 PDT 2015 --  As LA Galaxy prepare to host NYCFC on Sunday, watch Steven Gerrard and Frank Lampard's journey to the United States. http://es.pn/1J8KXbp 
Thu Aug 20 18:55:57 PDT 2015 --  Which #BPL clubs are splurging vs pinching pennies? Some will surprise you ( #NUFC / #WBA). Others will not ( #COYS). pic.twitter.com/fk0XPK1ac4
Thu Aug 20 18:00:38 PDT 2015 --  What a match! What a comeback! @BVB fight back to take first-leg advantage #ODDBVB #UEL http://bndsl.ga/DYbpE  pic.twitter.com/YN1PAXlQQd
Thu Aug 20 05:26:00 PDT 2015 --  Very happy, I’m already Blue! Thank U all and specially @FCBarcelona for make possible to reach this point @ChelseaFC pic.twitter.com/fgERbDXLcJ
Thu Aug 20 05:31:57 PDT 2015 --  Guardiola: "If Pedro was Brazilian, he'd be called Pedrinho and we wouldn't have enough money to afford him." #UCL pic.twitter.com/fYleEXqUHD
Thu Aug 20 05:32:00 PDT 2015 --  #GràciesPedro LIGA UCL SPANISH CUP EUROPEAN SC SPANISH SC FIFA WORLD CLUB CUP 99 pic.twitter.com/KazKqFgulT
Thu Aug 20 05:09:27 PDT 2015 --  Pedro on signing for Chelsea: "I am very excited to start my adventure at Chelsea. I am here to keep winning titles." pic.twitter.com/P46BtkfBB1
Wed Aug 19 21:11:52 PDT 2015 --  FULL-TIME! @SoundersFC win late with goals from Erik Friberg and Brad Evans for a 2-1 @CONCACAF Champions League victory over Olimpia.
Wed Aug 19 21:14:40 PDT 2015 --  . @brad_evans3 buries the PK to lift the #Sounders to a 2-1 win! WHAT A NIGHT! #SEAvOLI pic.twitter.com/rOnKuYsu18
Wed Aug 19 11:05:51 PDT 2015 --  Competition time: RT this tweet & a winner of my signed gloves will be chosen at random 🏼 Winner named Friday 2pm! pic.twitter.com/NbxfV6QxO7
Wed Aug 19 03:46:47 PDT 2015 --  For Pedro, it's about directness, speed, width and impeccable timing of runs. He'll suit Chelsea stylistically. #CFC
Wed Aug 19 04:05:00 PDT 2015 --  Matt Ritchie is worried #AFCB won't get a fair share of decisions against big clubs http://bbc.in/1WEh5wK  pic.twitter.com/5nxHFDlW49
Wed Aug 19 04:20:27 PDT 2015 --  Chelsea have agreed a deal with Barcelona to sign Pedro for a fee of £21m. Official confirmation soon. (Source: BBC)
Wed Aug 19 04:31:18 PDT 2015 --  BREAKING: #lcfc have signed @GokhanInler from @sscnapoli. #WelcomeGokhan pic.twitter.com/hqhWguyL1Y
Tue Aug 18 19:31:48 PDT 2015 --  HAHAHAHAHAHAHAHA.. pic.twitter.com/kGfSloNJGW
Tue Aug 18 14:06:26 PDT 2015 --  Miroslav Klose admits he could miss the 2nd leg against Bayer Leverkusen after picking up an injury for #Lazio http://www.football-italia.net/71222/klose-worried-injury … #B04
Mon Aug 17 14:51:31 PDT 2015 --  Another positive performance by #afcb tonight. People forget that #swans didn't score or win until their fifth game in the top flight.
Mon Aug 17 14:58:38 PDT 2015 --  Titles in 2015: Barcelona 4 Athletic 1 Real Madrid 0.. pic.twitter.com/An7dLT4c0H
