Mon Apr 06 17:10:37 PDT 2015 --  @bryanmacedo_cant afford Lester tho..
Mon May 26 21:16:42 PDT 2014 --  the shorter my shorts are the better my day is
Mon May 26 19:32:00 PDT 2014 --  i threw up in my yard i am sober
Fri Jan 03 02:00:10 PST 2014 --  This is the year I start tweeting.
Wed Oct 30 20:23:13 PDT 2013 --  And from worst to first...in the world! Congratulations to the 2013 World Series Champions, the Boston Red Sox
Wed Oct 30 20:23:49 PDT 2013 --  WOOOOOOO
Sun Oct 27 16:16:58 PDT 2013 --  Aaas
Sat Sep 28 23:11:31 PDT 2013 --  I don't feel the need to tweet often, but I just feel others should know. This is a Reese. pic.twitter.com/bR2tqFtcnQ
Mon Aug 19 16:59:18 PDT 2013 --  Fantasy Draft. #Gametime @RawdCabral @_ryanmedeiros @_ryanmedeiros @Lunesta_J
Mon Aug 19 12:11:28 PDT 2013 --  excited just lookin in my notification center #fantasyfootballdraft @jaygomess @RawdCabral @_ryanmedeiros @Lunesta_J pic.twitter.com/uRkeJJmoTO
Mon Jul 29 18:43:31 PDT 2013 --  I don't wanna lose your love tonight @Lunesta_J
Sat Jul 13 15:44:36 PDT 2013 --  100% serious - who wants to join a fantasy football league, $20 buy in? At least somewhat knowledgeable in football.
Fri Jun 21 21:40:16 PDT 2013 --  meow
Wed Jun 05 00:47:53 PDT 2013 --  Hey @Lunesta_J , got a promotion.
Sat May 25 20:26:30 PDT 2013 --  Someone talk to @RawdCabral plz
Fri Apr 19 09:38:34 PDT 2013 --  The amount of false information being disseminated on Twitter right now is downright sickening and aggravating.
Mon Dec 31 21:21:33 PST 2012 --  Especially you, @Brooke_Bolton
Mon Dec 31 21:20:30 PST 2012 --  Love you @RawdCabral @cackary @bryanmacedo_ @_Cristiano_C @Brooke_Bolton @jaygomess
