Thu Aug 27 11:16:02 PDT 2015 --  I love you to the moon and back . #Dogday pic.twitter.com/CAJB9K62FP
Thu Aug 27 06:09:09 PDT 2015 --  #KPAlerts Police Station in Peshawar pic.twitter.com/KeV9eiVC0c
Wed Aug 26 13:15:58 PDT 2015 --  Got addmison in UCP
Sat Aug 22 07:04:42 PDT 2015 --  A big News... Imran khan has got another wicket. Speaker National Assembly Ayyaz Sadiq lost his seat. #NA122 #ARYNews
Thu Aug 20 12:26:59 PDT 2015 --  Add me on snapchat pic.twitter.com/kA3J451Irj
Thu Aug 20 11:50:50 PDT 2015 --  The Flash . #season1 complete
Sat Aug 15 12:45:44 PDT 2015 --  Sad to learn of Gen Hameed Gul's death. Whether one agreed with his views or not, he was a patriot. Condolences & prayers go to the family.
Sat Aug 15 12:42:18 PDT 2015 --  Saddened to hear of Gen Hameed Gul's death. He was an extraordinary person of strong convictions & a friend. Prayers go the family.
Sat Aug 15 12:43:51 PDT 2015 --  Pakistani be like on 14 August : Hum zinda Qoum ha , Hum pianda Qoum ha And in reality they are like : Horn na bajaye , Qoum soo rahi ha
Fri Aug 14 07:33:50 PDT 2015 --  Love you both, both are our strength & fuel to drive Pakistan more forward with every passing day. #PakistanZindabad pic.twitter.com/epb8YhTWnN
Fri Aug 14 11:26:31 PDT 2015 --  One Pic . Two Shades pic.twitter.com/VesoOCotpB
Fri Aug 14 11:23:24 PDT 2015 --  keep Smiling Its #Sunnah
Fri Aug 14 09:50:22 PDT 2015 --  Da #Khushi when verified accounts starting following you .
Fri Aug 14 02:19:04 PDT 2015 --  IK hoisting National flag at his home today. pic.twitter.com/cXvirn0qze
Fri Aug 14 05:39:12 PDT 2015 --  Waiting for #the100Season3 @WildpipM #bellamy You are Love :-*
Fri Aug 14 05:01:01 PDT 2015 --  Agar Dp aur face green krney se koi Pakistani Kehlata ha to Yaqeen janiye mene aj tk HULK se Ziada Sacha Pakistani Kabhi nhi dekha . #lol
Thu Aug 13 11:30:23 PDT 2015 --  Happy Independence Day !!! 14 August #Pakistan
Tue Jul 28 12:02:58 PDT 2015 --  Silent people have the loudest minds
Wed Jun 24 13:57:16 PDT 2015 --  He : Kia kr ra ha ? Me : Light aaney ka intazar, aur tu ? He: Light Janey ka intazar #justpakistanithing
Tue Jun 23 22:41:03 PDT 2015 --  Some people tell me the actual death toll in Karachi is much higher than reported!
Tue Jun 23 10:14:02 PDT 2015 --  Punjab Govt allocated Rs.400 B for development.Budget focusing on mega Infra Projects rather then Health & Education. pic.twitter.com/vLbeq9wEjA
Tue Jun 23 10:02:06 PDT 2015 --  So how did the Indians know that the pigeon was Pakistani, cz of his beauty :-p ? Should be then
Tue Jun 23 09:58:56 PDT 2015 --  Physics Teacher: What is the measurable unit "µ" called? Student: Torrent
Tue Jun 23 09:56:22 PDT 2015 --  If you see a guy opening a car door for a girl, it's one of two things: either a new girl, or a new car!
Tue Jun 23 08:58:15 PDT 2015 --  Federal Govt's own Economic survey says that compared to year 2013-14, this year electricity production has gone down #KhwajaAsifMustResign
Sat Jun 13 13:31:17 PDT 2015 --  Meet ‘Pepper’ – The World’s Fastest ‘Unadulterated’ Bagger - http://gearheads.org/meet-pepper-the-worlds-fastest-unadulterated-bagger/ … - pic.twitter.com/arzRqsbkA6
Thu Jun 11 14:12:50 PDT 2015 --  If you are a Pakistani Girl, you are probably a Bhabhi of countlesa guys without even knowing
Wed Jun 10 02:27:06 PDT 2015 --  Swag is for angraiz log... Pakistani's have SHASHKEY
Mon Mar 09 00:00:10 PDT 2015 --  pic.twitter.com/p8Oubse5SK
Thu Mar 05 09:26:49 PST 2015 --  Happy birthday to me pic.twitter.com/oC7OfEmDNw
Sun Mar 01 00:25:54 PST 2015 --  Second out yahooooooo #PakvsZim
Sun Mar 01 00:13:56 PST 2015 --  1st out by Muhammad Irfan #PakvsZim
Fri Feb 27 10:19:58 PST 2015 --  Want a partner for #crime
Fri Feb 20 14:26:25 PST 2015 --  First wicket by Pakistan
Sat Feb 14 21:53:36 PST 2015 --  And then I found that am little bit sexy pic.twitter.com/NM3c3wIiVF
Sat Feb 14 21:51:57 PST 2015 --  Second out .... Yahoooooooooooooo Watching Pakistan vs India
Mon Feb 09 04:45:07 PST 2015 --  It's time to get rid of Altaf Hussain - Imran Khan pic.twitter.com/TR2SzbG4qy
Mon Feb 09 04:55:24 PST 2015 --  The time haw come for both the military and civilian leadership to clarify their stance against political militias- #IKPresser
