Fri Aug 28 16:21:01 PDT 2015 --  To do list, by Johnny Cash. pic.twitter.com/RjQJK0xvY7
Tue Aug 25 08:00:30 PDT 2015 --  Are you ready for @TheRock? #Ballers starts September 8th at 10pm. pic.twitter.com/tmxQ5qzD6U
Sun Aug 23 16:12:34 PDT 2015 --  The bit in the #TheRing when she chokes and pulls the wire out of her throat
Fri Aug 21 15:20:07 PDT 2015 --  Do you remember the first time someone made you feel alive?
Fri Aug 21 03:30:04 PDT 2015 --  Deadline looming for my final reflection. All 2,500 words of it. Somebody do it for me?
Fri Aug 21 03:21:34 PDT 2015 --  Police hunt for man who sexually assaulted Nuneaton teen in nightclub toilets http://www.coventrytelegraph.net/news/coventry-news/police-issue-picture-search-man-9902373 … pic.twitter.com/IOGLfEBm6S
Mon Aug 17 02:40:59 PDT 2015 --  Why you should make #Montenegro your next holiday destination http://www.harpersbazaar.co.uk/travel/travel-guides/the-bazaar-guide-to-montenegro …
Sun Aug 16 14:19:19 PDT 2015 --  Watching the best Bond film #CasinoRoyale love the chemistry between James and Vesper #ISizedYouUpTheMomentWeMet
Sat Aug 15 15:04:50 PDT 2015 --  @missfinney25 did I get you? No! You 'GET ME' you KILL ME!!
Sat Aug 15 14:56:45 PDT 2015 --  Watching "The One Where No One's Ready" #drinkthefat #imbreezy #friends #lunges #commando
Wed Aug 12 08:20:47 PDT 2015 --  #gorlestonbeach pic.twitter.com/FBjZAUSHqY
Wed Aug 12 08:19:05 PDT 2015 --  This tasted as good as it looks pic.twitter.com/nl0ffGrtfX
Mon Aug 10 15:44:30 PDT 2015 --  Enjoying the caravan life in Great Yarmouth #ohIdoliketobebesidetheseaside
Fri Jul 31 15:53:51 PDT 2015 --  Enjoying @FinnMcCooI humongous TV but thwarted in my attempts to watch season 1 of @OITNB as I have my daughter with me #nudityfromthestart
Sat Jul 25 16:11:05 PDT 2015 --  Seeing these guys in a new light.. pic.twitter.com/dxjXC0uzuU
Fri Jul 24 15:06:27 PDT 2015 --  Unbridled joy at the realisation that there is a Tom Cruise HD channel on @SkyUK
Fri Jul 24 14:51:54 PDT 2015 --  Cameo alert! That's John Hughes himself as Brian's dad. #Film4BreakfastClub pic.twitter.com/De8gCkeeOG
Fri Jul 24 14:40:55 PDT 2015 --  DANCE SEQUENCE ALERT! Who do you think has the best moves? We think it's Ally 'n Molly. #Film4BreakfastClub pic.twitter.com/EF06cVug6Y
Fri Jul 24 13:26:13 PDT 2015 --  John Hughes wrote the first draft of the screenplay for The Breakfast Club in just two days - July 4th & 5th, 1982. #Film4BreakfastClub
Tue Jul 21 14:20:18 PDT 2015 --  Nominated by @Tea_Wench - My 4 favourite games - I nominate @Bluey81 and @missfinney25 pic.twitter.com/bHXV3JPvaY
Sun Jul 19 05:59:31 PDT 2015 --  Watched #MagicMikeXXL last night with the girls. I think it's quite possibly the best film ever made.
Fri Jul 17 01:39:02 PDT 2015 --  Day off after 3 long day shifts. Box set and sofa day required.
Sat Jul 11 03:54:47 PDT 2015 --  Just had one of those unusually long showers where you feel like something has changed in the world when you finally get out #cleanmeup
Sat Jul 04 22:01:46 PDT 2015 --  Work... On a Sunday....
Sat Jul 04 02:48:59 PDT 2015 --  Happy birthday brother Finn #whyamIsogoodlooking #letsrockthisjoint pic.twitter.com/LNTS9XLbEw
Fri Jul 03 10:03:53 PDT 2015 --  Been on hold to @HMRCgovuk for 22 minutes and counting...
Fri Jul 03 10:01:21 PDT 2015 --  The @funlovincrims are getting ready for @godivafestival. Pop down to War Memorial Park! It's FREE! #Godiva2015 pic.twitter.com/V2YYvN7VPV
Thu Jul 02 15:32:05 PDT 2015 --  Guy can't stop passing out on slingshot ride in Magaluf http://huff.to/1LFmBdL  pic.twitter.com/T3kcEgK0MR
Sun Jun 28 15:11:43 PDT 2015 --  All I want to say is, nobody's received ANY scripts yet. We're still in the dark. Just like anyone else. #gotseason6
Sun Jun 28 09:38:57 PDT 2015 --  Dat dough doe pic.twitter.com/pRtemMG74l
Fri Jun 19 11:53:19 PDT 2015 --  20 Commandments for MentalHealth workers http://20commandments.blogspot.nl/2012/04/20-commandments-for-mental-health.html?m=1 …
Wed Jun 17 00:46:47 PDT 2015 --  As a great man once almost said, "The reports of my death are greatly exaggerated." But then again I know nothing... pic.twitter.com/XOvMsDeeQA
Mon Jun 15 10:02:13 PDT 2015 --  Writing out the domains on my practice grid for my final nursing placement which commences tomorrow. Apparently after that I will be a nurse
Fri Jun 12 15:58:49 PDT 2015 --  Flicked over to 'As above so below' it seems dreadful!
Fri Jun 12 14:41:39 PDT 2015 --  Pre loved fashion, great items to be loved again and again #wardrobeliveners pic.twitter.com/UOMliF6ZDE
Fri Jun 12 12:20:14 PDT 2015 --  This doctor is an inspiration and a credit to all anaesthetists. I hope this reaches her. #portugaldoc pic.twitter.com/6ButlU52Le
Mon Jun 08 13:33:32 PDT 2015 --  Stannis Baratheon is one cold blooded mother funker #GoT
Sat Jun 06 16:32:59 PDT 2015 --  The only vaguely productive thing I've done today is paint a snail #notarealone #wasteofaday #lazybitch #pimpmysnail
