Thu Aug 27 08:25:30 PDT 2015 --  The weather at Gillette is going to be on point for Saturday's show 🏻 #CountryFest
Tue Aug 25 03:58:51 PDT 2015 --  Seeing @cbruno20 on #sportscenter this morning was absolutely hilarious.
Sat Aug 08 06:47:38 PDT 2015 --  ZBB was worth every penny I spent last night
Sat Jul 11 19:20:02 PDT 2015 --  Doing the most pic.twitter.com/f4nUHxb6Bf
Mon Jul 13 09:02:17 PDT 2015 --  This Nike commercial gave me chills https://amp.twimg.com/v/963bd418-8559-43c2-b780-42b9d5d19b9b …
Thu Jun 25 17:19:13 PDT 2015 --  Celtics better take dekker if he's still available.
Tue Jun 16 18:09:31 PDT 2015 --  No chance lebron loses this game.
Mon May 18 07:14:17 PDT 2015 --  Patriots have signed free agent linebacker Brandon Spikes to a one-year deal, per @FieldYates and me. #markman50
Mon May 11 14:52:27 PDT 2015 --  Edelman better start loosening up that arm.
Sun May 10 07:27:12 PDT 2015 --  Thank god for target, place is full of cool shit that moms love.
Thu May 07 17:21:52 PDT 2015 --  what a pre game we would of had at 96 Broadway today #Tb12 @biggaymurph @GregWasylak @DanDell24
Thu May 07 15:07:47 PDT 2015 --  Gotta love how Brady just flys a chopper onto the Salem state field like the hero he is.
Mon May 04 09:09:21 PDT 2015 --  That snapchat just made my day @MikeMurphysMind
Sat May 02 09:40:51 PDT 2015 --  Beers, grilling, sports and gambling
Sat May 02 08:06:58 PDT 2015 --  If I had a kid and found out my babysitter was putting my child all over social media,I wouldn't hesitate to punch a 16 year old in the face
Sat May 02 05:51:03 PDT 2015 --  Today is a degenerates Christmas.
Thu Apr 23 14:28:41 PDT 2015 --  Gonna be "that guy" at the bar tonight after today's painful work day. #BurrenThursdays
Tue Apr 21 17:43:27 PDT 2015 --  The pats schedule for home games absolutely blows this year. The last Sunday home game is week 3 against the Jaguars....
Mon Apr 20 21:02:15 PDT 2015 --  Shit 12:01 forgot to do weed today
Thu Apr 16 08:04:59 PDT 2015 --  it's a god damn shame that country fest is 4 months away
Thu Jun 06 04:23:06 PDT 2013 --  good morning...make today a great one
Wed Apr 15 05:59:14 PDT 2015 --  Never thought It would happen, but I'm becoming a big fan of hipster coffee shops.
