Tue Aug 25 09:54:46 PDT 2015 --  #thestrugle to keep your eyes open the first week of school. #eyeswontstayopen
Fri Aug 21 13:17:37 PDT 2015 --  I have mad love for @TheQuestCrew :) you guys are so talented and I got ALL THE FEELS from your performance. #ABDC
Fri Aug 21 13:00:26 PDT 2015 --  I'm so madly in love with @SUPERCR3W never backing down, never settling for less, always pushing. Keep doing it guys! #ABDC
Fri Aug 21 12:57:15 PDT 2015 --  And if you don't know what I'm talking about, watch it! YouTube it, DVR it, IDC!!!! @KINJAZ are making history people! #ABDC
Fri Aug 21 12:55:26 PDT 2015 --  Can we seriously talk about @KINJAZ performance this week?? I literally just got my mindblown! Changing the game!!!!!! #ABDC
Tue Jul 21 20:21:43 PDT 2015 --  Best friends are the people who make your problems their problems just so you don't have to go through them alone.
Tue Jul 21 16:43:56 PDT 2015 --  HOPE!!!! pic.twitter.com/wz1c43B2Xq
Thu Aug 20 00:44:02 PDT 2015 --  With my luck, a ghost will read my tweets and take it as "Ghost wanted." #noopenings #nothiring
Thu Aug 20 00:43:08 PDT 2015 --  It's not that I want ghosts, its just that all that anxiety built up and there is no ghost. #leftmehangin
Thu Aug 20 00:42:22 PDT 2015 --  It's weird tho, because sometimes I'm more surprised that there is NO ghost, you know what I mean? #ghostbusters #outofbusiness
Thu Aug 20 00:41:13 PDT 2015 --  I hate when I to the kitchen in the middle of the night and everything is creaking. Like if you a killer, just come out. #youaintslick
Tue Aug 18 08:33:14 PDT 2015 --  DAMN!!!! He passed him over for his promotion to master for someone else. That's so fucked up! #TheStrain
Tue Aug 18 08:28:44 PDT 2015 --  Damn what the hell just happened?!?! Contract killers now? Shit is getting intense! #trustnobody #TheStrain
Tue Aug 18 08:24:41 PDT 2015 --  Why did it have to be the black guy!!!!!! And damn professor! #nomercy #TheStrain
Tue Aug 18 08:23:58 PDT 2015 --  Damn this is intense. Thank God the squad came through. #TheStrain
Tue Aug 18 08:20:44 PDT 2015 --  Damn... Looks like mom has finally found her way to her son. #aintyomommanomore #TheStrain
Tue Aug 18 08:16:42 PDT 2015 --  Damn, someone is getting alittle uppity. Chill out old man, you don't run nothing! #TheStrain
