Fri Aug 28 20:20:37 PDT 2015 --  Melhor coisa se livrar de gente inútil pra dar espaço pra gente útil chegar!!
Tue Aug 25 07:23:58 PDT 2015 --  me trata bem hoje e amanhã me trata mal. os outros dizem que é bipolaridade. eu já acho que você é um filha da puta.
Fri Aug 28 20:13:36 PDT 2015 --  Bate aqui de madrugada, pra lembrar daquele tempo...
Fri Aug 28 19:25:36 PDT 2015 --  só um comentário, desculpa mas essa nunca vai ser superada #BabiloniaFinal pic.twitter.com/D8TzSnEJAg
Fri Aug 28 16:44:28 PDT 2015 --  é dia bosta atras de dia bosta
Fri Aug 28 20:01:36 PDT 2015 --  Sabe aquele gelo que vc me deu? Eu to tomando ele na balada com whisky e red bull uh uh uh pic.twitter.com/QK7qUqKpKX
Fri Aug 28 17:10:13 PDT 2015 --  Quando vc vai olhar pra pessoa mas ela ja esta olhando pra vc pic.twitter.com/T4oNzRPBCK
Fri Aug 28 04:11:41 PDT 2015 --  Bom dia ? Bom dia é o kct.
Fri Aug 28 04:05:29 PDT 2015 --  nem pra acha 10 reais no bolso da calça eu sirvo
Fri Aug 28 03:00:22 PDT 2015 --  cama vc é melhor que muita gente
Thu Aug 27 20:03:54 PDT 2015 --  Quer? Bora. Não quer? Sai fora.
Tue Aug 25 18:57:44 PDT 2015 --  Por isso que eu amo a @laisoliveiraCRF pic.twitter.com/XexPgPxH5u
Sat Aug 15 19:40:05 PDT 2015 --  to precisando ficar rico, nao apaixonado
Thu Aug 27 20:52:59 PDT 2015 --  !!!!!!!! https://twitter.com/DieguiiiN_/status/637108727439585280 …
Thu Aug 27 20:59:24 PDT 2015 --  Lá vai Canteros e... pic.twitter.com/7t5MwZQrkk
Thu Aug 27 06:54:29 PDT 2015 --  pic.twitter.com/UOsBzA1bks
Thu Aug 27 20:50:26 PDT 2015 --  Só faltou coloca uma bolinha vermelhinha em meu nariz e sair me chamando de palhaço
Thu Aug 27 20:50:45 PDT 2015 --  Seloco tiu vou capota
Thu Aug 27 20:49:27 PDT 2015 --  N gosto de ficar conversando forçado
Sat Aug 15 16:00:32 PDT 2015 --  reclamo no twitter porque na vida real finjo que esta tudo bem
Wed Jul 29 13:36:45 PDT 2015 --  Eu me afasto quando percebo que não faz diferença eu estar ali ou não.
Thu Aug 27 16:53:18 PDT 2015 --  “Eu realmente não me importo de perder certas pessoas. Já perdi algumas que significavam o mundo para mim e até que estou indo muito bem.”
Thu Aug 27 16:45:45 PDT 2015 --  Minha meta é dez, nove e meio nem rola.
Thu Aug 27 16:47:41 PDT 2015 --  eu quero é que se foda, eu to solteiro
Thu Aug 27 08:02:01 PDT 2015 --  Corro mais que o Usain Bolt pic.twitter.com/d30FLreZTS
Wed Aug 26 21:08:38 PDT 2015 --  EU DARIA TUDO PARA MORAR NO RJ, PODER ACOMPANHAR O FLAMENGO TODO JOGO, VOCÊS Q MORAM AÍ TEM SORTE P CRL, É RUIM DEMAIS FICAR VENDO PELA TV!
Wed Aug 26 20:03:01 PDT 2015 --  O AMOR NUNCA ACABA! pic.twitter.com/iYzeo7q7vr
Wed Aug 26 21:05:53 PDT 2015 --  Os Vascainos estão muito acesos hoje, desliga a lanterna um pouco ae
Wed Aug 26 20:58:31 PDT 2015 --  Era o placar de rebaixamentos, amigo. Três pra vocês, zero pra gente. https://twitter.com/vascodagama/status/636734862871949312 …
Wed Aug 26 21:03:39 PDT 2015 --  ficaram 3 anos sem ganhar a gente, sabem oq é ficar 3 anos sem vencer o rival? entao...
Wed Aug 26 21:00:57 PDT 2015 --  NAS VITORIAS E NAS DERROTAS, SOU FLAMENGO
Wed Aug 26 20:55:18 PDT 2015 --  ja to putao ainda vem minha mae:" meu filho, isso e so um jogo e vc ai quase passando mal" ah, vai pro crl tbm, falem cmg nao
Wed Aug 26 20:58:11 PDT 2015 --  nesses momento q sao foda ver o seu amor apanhar de longe sem poder faze nada e um bagulho mt sofrivel nao desejo pra ninguem
Wed Aug 26 20:50:11 PDT 2015 --  Eu poderia até dormir triste, mas existe o Flamengo mil grau
Wed Aug 26 20:54:24 PDT 2015 --  Ta, vasco .. Ganhou, agora vai lá disputar a série b. Abrçs
Wed Aug 26 20:52:08 PDT 2015 --  Só espero que a gravidade das lesões do Guerrero e do Ederson sejam o de menos. Que nada de grave tenha acontecido, amém!
Wed Aug 26 20:51:15 PDT 2015 --  Vasco ganhando ou perdendo sempre vai ser a piada do RJ. A SERIE B TE ESPERA
