Thu Aug 13 06:24:58 PDT 2015 --  #TheNextBigThing is achieving #zerohunger. https://twitter.com/CSRwire/status/631801642870902784 …
Fri Aug 07 12:32:04 PDT 2015 --  Have the Cowboys signed Aldon Smith yet?
Thu Jul 30 06:33:22 PDT 2015 --  When she says she doesn't like Pokémon pic.twitter.com/afAUNyK0uj
Sat Jan 03 03:11:03 PST 2015 --  Elmo murdered that whip http://vine.co/v/OwlH7ejiIIE 
Fri Jul 24 17:00:14 PDT 2015 --  "Trust me, you can dance" -Beer
Fri Jul 24 14:33:33 PDT 2015 --  @ESPN_Colin I mean… pic.twitter.com/t0XbEiGNE3
Wed Jul 08 19:38:31 PDT 2015 --  pic.twitter.com/IK0d6bYHXw
Sun Jul 05 17:43:26 PDT 2015 --  Alex morgan is bae. Jesus Christ.
Sat Apr 11 21:15:59 PDT 2015 --  OMG I CANT STOP LAUGHING pic.twitter.com/lNJ6ZTe95R
Mon Jun 22 11:14:25 PDT 2015 --  pic.twitter.com/TVQhltAgtX
Tue Jun 16 15:24:55 PDT 2015 --  "NBA Rumors: Bulls' Jimmy Butler Reportedly Has 'Increased' Interest in Signing Offer Sheet with Lakers in Free Agency" #FUCK
Thu Jun 04 22:08:21 PDT 2015 --  Tristin Thompson looking like Kung Lao pic.twitter.com/jOsoXtBoZw
Wed May 27 19:06:21 PDT 2015 --  Refs are fucking bought.
Mon May 18 08:38:52 PDT 2015 --  Hello, Twitter! It's Barack. Really! Six years in, they're finally giving me my own account.
Thu May 14 19:08:30 PDT 2015 --  It was a good run. Stay healthy #DRose 2015-2016.
Fri May 08 10:08:32 PDT 2015 --  RT if you started in Kanto! pic.twitter.com/f4sjko1kBv
Sat May 09 17:36:25 PDT 2015 --  When my phone doesn't have a signal pic.twitter.com/rAi4s28L8y
Fri May 08 11:27:27 PDT 2015 --  When you and a friend are trying to figure out the buttons https://vine.co/v/O7jWY9guObB 
Fri May 08 12:29:25 PDT 2015 --  Clippers PG Chris Paul tells teammates that he will play tonight. pic.twitter.com/pWDX2P4jkV
Wed May 06 15:52:53 PDT 2015 --  . @TweetQTV presents 30 for 30 Seconds: the Headband. #ALLinCLE https://amp.twimg.com/v/9a413bb3-ad6c-48c3-a90e-6b6602dc8c7c …
Mon May 04 10:32:08 PDT 2015 --  When a white kid shoots up the school the same day you planned to bomb it pic.twitter.com/hXmNtAYnkA
Mon May 04 10:38:20 PDT 2015 --  pic.twitter.com/gLEMNDC4Aa
Sat Apr 25 09:08:54 PDT 2015 --  Tim Duncan turned 39 today, so let's put his NBA career in perspective: pic.twitter.com/glEOUmimlU
Mon Apr 13 20:30:12 PDT 2015 --  When your mom adds you on snapchat pic.twitter.com/yovEQLyXCa
Thu Mar 26 09:46:34 PDT 2015 --  i give ur performance a 10… on the pH scale because that shit was basic as hell
Wed Apr 08 16:10:35 PDT 2015 --  Welcome back Derrick Rose! The 3× All-Star returns to the floor tonight for the first time in 44 days. pic.twitter.com/dZUKiuyYCi
Mon Apr 06 20:37:34 PDT 2015 --  The saddest Teletubby in the world #NationalChampionship pic.twitter.com/jkuLhQGIl3
