Wed Aug 26 23:46:33 PDT 2015 --  she a hoe if she don't put on her seatbelt. hoes don't like to be tied down.
Sat Jul 04 23:34:26 PDT 2015 --  Ling Ling bout to fuck up some commas https://vine.co/v/eiFeH6wT2vP 
Tue May 19 16:38:55 PDT 2015 --  I KNEW IGGY LOOKED FAMILIAR pic.twitter.com/5Vl4vCqoSD
Sun Aug 02 06:58:30 PDT 2015 --  Bill Cosby be like: pic.twitter.com/UPqGNjnAgG
Thu Jul 30 21:21:00 PDT 2015 --  "meek mill called that nigga butter cup " pic.twitter.com/h9RNDlBKXX
Sun Jul 05 18:44:44 PDT 2015 --  When you get your roast sense too late 🏽 pic.twitter.com/s3HmJSLox0
Sat Jul 25 11:45:42 PDT 2015 --  Just retweet pic.twitter.com/1MknZs8JIC
Sun Jun 14 09:21:40 PDT 2015 --  when i get married my wife got me fucked up thinking i'm sleeping on the couch if we fight. u better roll over & take your mad ass to sleep.
Sun Jul 19 12:05:36 PDT 2015 --  Life's hard when u wanna chill and avoid drama yet ur opinionated and take no shit, criticise everything and need to have the last word
Thu Jul 23 11:28:51 PDT 2015 --  that is the most savage shit I've ever seen pic.twitter.com/ikwWk9plKi
Fri Jul 24 13:50:29 PDT 2015 --  Y'all. Celebs have lost all chill with the SHADE on Twitter right now. But nobody will ever top 2012 Rihanna. pic.twitter.com/XktfPLQ7sR
Thu Jul 23 14:56:11 PDT 2015 --  ling ling and her dad lit pic.twitter.com/90BWwoyzLQ
