Wed Jul 29 12:56:01 PDT 2015 --  Yesterday shoulda never happened
Sun Jul 26 20:46:30 PDT 2015 --  I'm satisfied and happy with the person I'm becoming. I've been through so much I commend myself for never breaking.
Tue Jul 28 21:23:10 PDT 2015 --  I gotta start surrounding myself around FEMALES that have ambition and goals, being around that energy helps me strive for more!🏾
Tue Jul 28 21:04:36 PDT 2015 --  Recognize game before game recognize you
Tue Jul 28 18:15:31 PDT 2015 --  🏿🏾🏽🏼🏻
Mon Jul 27 21:00:18 PDT 2015 --  If you think about it, you will see that the good far outweighs the not so good.
Sun Jul 26 20:58:47 PDT 2015 --  Why I invest my time into the wrong niggas? Why lord ?
Sun Jul 26 20:57:26 PDT 2015 --  I don't think we'll ever be together cause you'll never change
Sun Jul 26 20:55:01 PDT 2015 --  When you just tired of hearing lies , please gtf out my face , my phone , my life . Block yah ass on everything
Sun Jul 26 18:35:30 PDT 2015 --  Rest in heaven #BobbiKristina
Sun Jul 26 18:18:59 PDT 2015 --  Jackie needa fire her stylist #BBWLA
Sun Jul 26 18:15:22 PDT 2015 --  She was trying to be petty. You can't be petty in a peacoat in hot azz LA. C'mon son. #BBWLA
Sun Jul 26 18:00:28 PDT 2015 --  Like damn bob damn
Sun Jul 26 18:00:28 PDT 2015 --  Shit don't pertain to you , why you worried ?
Sun Jul 26 17:55:40 PDT 2015 --  I don't talk to him everyday... but we text
Sun Jul 26 13:55:28 PDT 2015 --  I don't think I want anything to do with that #washingmyhands
Sun Jul 26 13:51:17 PDT 2015 --  My left foot be going through it , I just had surgery on it a couple years ago
Sun Jul 26 13:50:33 PDT 2015 --  I think I broke like 3 toes on my left foot
Sat Jul 25 22:01:00 PDT 2015 --  Yeah my 5 definitely coming to the end of the road
Sat Jul 25 21:39:08 PDT 2015 --  I love him and he doesn't know
Sat Jun 14 05:04:18 PDT 2014 --  So many women with pictures with their boyfriends in their profile pic Are telling a different story in direct message. Monogamy scary
Fri Jul 24 08:48:44 PDT 2015 --  Little booty but my nigga always pretend that it's the one he's always wanted. i know he's lying bc I've seen his porn history.But still
Fri Jul 24 05:13:27 PDT 2015 --  *high pitch scream* RT @_CallMeLola: So the way my hair looks under my weave is white woman high fashion now??? pic.twitter.com/RUROSXxHB9
Fri Jul 24 08:50:06 PDT 2015 --  I put my phone down and look look look who down on bending knees
Thu Jul 23 20:20:36 PDT 2015 --  LMAOO that was close af
Wed Jul 22 16:35:23 PDT 2015 --  I love talking to Keshia she gives me soooo much advice that I need
Wed Jul 22 12:36:01 PDT 2015 --  Happiness is a journey, not a destination.
Tue Jul 21 17:42:17 PDT 2015 --  People on Twitter will @ you talking shit and then when you reply they say "Why you in my mentions tho?"
Tue Jul 21 21:01:29 PDT 2015 --  Why lordtt ? Why ?
Tue Jul 21 20:24:24 PDT 2015 --  Imma do something different for NYE this year , I'm so excited
Tue Jul 21 20:22:55 PDT 2015 --  Like how you don't know that classic song by MC .. damn shame
Tue Jul 21 20:22:27 PDT 2015 --  Oprah just had musicians on the show just for views she didn't gaf or knew the lyrics to anybody's songs
Sun May 31 21:19:04 PDT 2015 --  Oprah fake ass don't even know the words https://vine.co/v/eqIEDi3QDzq 
Tue Jul 21 11:50:46 PDT 2015 --  Opportunity cost is everything
Tue Jul 21 09:12:53 PDT 2015 --  That's DEEP bro. You're so on point 🏾 pic.twitter.com/D8tv7yDBdZ
Tue Jul 21 09:00:57 PDT 2015 --  Over 75% of the American population do not exercise regularly. Exercise decreases your risk of every illness so what are you waiting for?
Mon Jul 20 20:13:21 PDT 2015 --  Photo of the day... 🏾 pic.twitter.com/JaWdVsIZdq
Mon Jul 20 08:32:39 PDT 2015 --  Who made this shit pic.twitter.com/z3nzOOOpDZ
Tue Jul 14 17:18:25 PDT 2015 --  When you listen to Zoowap. That shit too nasty lyrics like liquor pic.twitter.com/hXRkmvYbbG
