Fri Aug 28 04:15:05 PDT 2015 --  Smooth as fuck pic.twitter.com/UTJtrZjbo2
Fri Aug 28 07:15:05 PDT 2015 --  ELLEN IS THE BEST pic.twitter.com/WxQzuVkq5v
Thu Aug 27 07:11:17 PDT 2015 --  His face when he breaks it pic.twitter.com/huECXedKKY
Wed Aug 26 11:27:01 PDT 2015 --  This guy has a death wish pic.twitter.com/Vrxv8PCK5v
Wed Aug 26 08:10:25 PDT 2015 --  No way pic.twitter.com/WhRiC8e5cz
Tue Aug 25 20:30:11 PDT 2015 --  Bradley has his head on right... pic.twitter.com/RHLctvnBmd
Sat Aug 22 11:17:55 PDT 2015 --  There's no way that actor in Straight Outta Compton could look that much like 2Pac... it's him y'all he's alive the conspiracies are true
Sat Aug 22 17:04:08 PDT 2015 --  Somebody better draft this man quick pic.twitter.com/amxaqTJL5w
Sat Aug 22 16:57:05 PDT 2015 --  can this kid be our new president https://vine.co/v/eDxn77hVKIj 
Sat Aug 22 13:26:05 PDT 2015 --  RT if you support the troops 100% pic.twitter.com/6L8q0PmH1j
Thu Aug 20 19:30:20 PDT 2015 --  Miss This Guy... pic.twitter.com/DjXVeqVVFY
Tue Aug 18 18:38:48 PDT 2015 --  Lmfao https://vine.co/v/M5taMTVIL3r 
Tue Aug 18 17:04:00 PDT 2015 --  True pic.twitter.com/7Ke9qENw3h
Tue Aug 18 17:49:05 PDT 2015 --  Left: Me high. Right: Me drunk af. https://vine.co/v/ewI0jlIHv7H 
Tue Aug 18 18:07:11 PDT 2015 --  Oscar is a Boss tbh pic.twitter.com/mmKOkrBfBe
Thu Jul 23 18:01:32 PDT 2015 --  We're walking about ... https://vine.co/v/egz6qL9lHUO 
Thu Jul 23 18:01:42 PDT 2015 --  This is perfect https://vine.co/v/e620H5KpEqP 
Sun Jul 26 19:28:38 PDT 2015 --  When it's your turn to get roasted but your homie takes it to far https://vine.co/v/egXLr0TMa3F 
Mon Jul 27 20:28:51 PDT 2015 --  Who makes these https://vine.co/v/egUEejveTOE 
Thu Jul 23 11:46:20 PDT 2015 --  Nailed it pic.twitter.com/hEj3AAwRF6
Thu Jul 23 11:48:10 PDT 2015 --  How... https://vine.co/v/MMvX2jYxxUW 
Thu Jul 23 13:45:02 PDT 2015 --  #TodaysKidsWillNeverKnow The first ever cause for heart attacks pic.twitter.com/FJsuOxSBWq
Thu Jul 23 14:05:00 PDT 2015 --  "I still think 2007 was 3 years ago." — University of Louisiana, Lafayette
Fri Jul 10 11:57:33 PDT 2015 --  knowing me, I'd probably jump in and break a few bones pic.twitter.com/tkTi7QyheF
Mon Jul 13 11:21:15 PDT 2015 --  I respect this kids game pic.twitter.com/qV1fGKBUZK
Thu Jul 16 21:11:58 PDT 2015 --  #GrowingUpPlayingSports you have used one of these in the early morning pic.twitter.com/UGPGcgD7Ea
Fri Jul 17 08:52:36 PDT 2015 --  Retweet if you miss the captain pic.twitter.com/zNOdl1Fp8f
Fri Jul 17 16:47:30 PDT 2015 --  SAVE THIS YOUNG BOY FROM THE FRIENDZONE https://vine.co/v/erxaire9j5J 
Thu Jun 25 18:12:25 PDT 2015 --  love this song https://vine.co/v/eMdAMXwrXlL 
Fri Jul 17 11:30:39 PDT 2015 --  LMFAO CHILL BRUH pic.twitter.com/fnR3B0KVoC
Fri Jul 17 13:30:28 PDT 2015 --  Wingman level: Hero. pic.twitter.com/G8Z7tO9Imt
Thu Jul 16 15:39:59 PDT 2015 --  this scene wasn't appreciated enough http://twitter.com/FVKME/status/621802655900401665/video/1 …
Wed May 06 19:40:50 PDT 2015 --  This shit is insane @PonceDeLeioun pic.twitter.com/OGwBXOMIOC
Thu Jul 16 19:30:13 PDT 2015 --  forever funny pic.twitter.com/Si7YfjzBkh
Thu Jul 16 16:53:33 PDT 2015 --  #TodaysKidsWillNeverKnow You could end a MFs life with one of these. pic.twitter.com/ZJoy52OK0o
Thu Jul 16 18:00:51 PDT 2015 --  When you on punishment an this the only thing you had to play with pic.twitter.com/0ZlHMSGs73
