Fri Aug 28 20:20:30 PDT 2015 --  rt/fav if you like my hair down pic.twitter.com/gA5FCFDwV8
Sat Aug 15 13:32:40 PDT 2015 --  Model status pic.twitter.com/N591gzcQlQ
Wed Aug 12 20:08:18 PDT 2015 --  Big Sexy Hair is offering my followers a free Push Up Spray. Comment on this post with #PushUp & follow @SexyHair for a chance to win! #ad
Thu Aug 06 03:41:14 PDT 2015 --  CARTER @carterreynolds @carterreynolds @carterreynolds pic.twitter.com/xDh5SngTju
Thu Aug 06 03:06:58 PDT 2015 --  i'm so tired of living in this shitty world can i just move to a different planet maybe aliens will think i'm cute
Tue Aug 04 13:56:13 PDT 2015 --  So is Louis Tomlinson pregnant or some shit? That's all I've taken away from casually skimming my timeline for about 5 minutes
Mon Aug 03 07:38:19 PDT 2015 --  My sister dropped her phone in a toilet this morning Having an awesome trip!
Sun Aug 02 15:02:25 PDT 2015 --  Hot food. I don't get it. pic.twitter.com/dAfNiCIjWQ
Sat Aug 01 17:55:47 PDT 2015 --  spilled pizza on myself... I ain't even mad cuz the pizza was good
Sat Aug 01 08:13:19 PDT 2015 --  Dad: "and thats another reason why I love your mother" Mom: "yea dude"
Sun Jul 26 20:50:48 PDT 2015 --  #teamcarter
Sun Jul 26 20:51:56 PDT 2015 --  #teamcarter Carter has came out strong with all of this shit and I'm not leaving his side. @carterreynolds
Thu Jul 23 13:15:58 PDT 2015 --  Try #SongFlip to stream unlimited music for free! http://bit.ly/songflip 
Tue Jul 21 22:25:02 PDT 2015 --  take ur meds kids pic.twitter.com/eSJB7dw3f2
Tue Jul 21 12:00:53 PDT 2015 --  #GrowingUpAGirl going bra shopping for the first time and wanting to cry because your mom is embarrassing you out of you mind
Mon Jul 20 06:25:25 PDT 2015 --  I confronted @JoeyGraceffa yesterday about his CHEATING and we ended up touching body's a lot. #storyofmylife #videosoon #bye #hashtag #no
Sun Jul 19 22:34:46 PDT 2015 --  @itsTaylorBaxter pic.twitter.com/ifabcxvu2p
Sun Jul 19 22:21:53 PDT 2015 --  Update: Tyler is asleep... 200 RTs an I'll sneak a pic
Sun Jul 19 21:21:37 PDT 2015 --  I'm okay. Thank you guys so much for everything. I don't know what the hell id do without my supporters. You guys are my world.
Sun Jul 19 20:40:36 PDT 2015 --  Wtf carter @carterreynolds pic.twitter.com/5hw6NHAGZP
Sun Jul 19 20:28:40 PDT 2015 --  Is carter lying or what? @MaggieLindemann pic.twitter.com/200q8dZjZu
Sun Jul 19 18:56:38 PDT 2015 --  Hey, I hope your Sunday night doesn't suck. Love, me
Sun Jul 19 13:11:02 PDT 2015 --  Carter....Maggie said that you said that you were going to ruin her life. dont. @carterreynolds
Mon Jun 22 20:14:55 PDT 2015 --  What did the blanket say as it fell off the bed? Oh sheet.
Fri Jun 19 07:26:15 PDT 2015 --  Crowded gyms with occupied machines are the worst because we’re there to lose weight, not gain wait.
Mon Jun 15 08:14:51 PDT 2015 --  I've accepted the fact that being cremated is my last hope for a smoking, hot body.
Thu Jun 11 19:39:50 PDT 2015 --  He drove his expensive car into a tree and found out how the Mercedes bends.
Tue Jul 14 11:26:50 PDT 2015 --  I hate when i’m trying to blow out birthday candles and little kids try to do it with me excuse u it’s not ur birthday so take a step back
Tue Jul 14 13:04:27 PDT 2015 --  "are u angry?" its my fucking face
Tue Jul 14 11:18:06 PDT 2015 --  getting older is scary can i stop
Tue Jul 14 16:04:01 PDT 2015 --  I always complain about not having enough sleep but when I have the chance to sleep I stay up watching series or rethinking my life"
Tue Jul 14 00:59:32 PDT 2015 --  pic.twitter.com/qtfggsCkbh
Tue Jul 14 16:06:16 PDT 2015 --  I don’t think people understand how stressful it is to explain what’s going on in your head when you don’t even understand it yourself.
Sun Jul 12 09:56:56 PDT 2015 --  This is what a giant smoke ring blown by a volcano in Italy looks like. pic.twitter.com/9ql2hSSkLg
Sun Jul 12 09:51:33 PDT 2015 --  This is what it looks like when a honeybee stings a human. pic.twitter.com/RgOvAwRxC5
Tue Jul 14 16:06:31 PDT 2015 --  how do u even respond pic.twitter.com/SnoAGUUXkx
Mon Jul 13 17:36:15 PDT 2015 --  I thought I knew you, now I realize how wrong I was.
Mon Jul 13 17:36:59 PDT 2015 --  IT’S ALMOST AUGUST??????? SCHOOOL?? GRADES???? RESPONSIBILITIES??????????? WAKING UP BEFORE 12?????? LIFE??!!?!??!?!?!
Sun Jul 12 02:08:17 PDT 2015 --  iPhone 7 http://twitter.com/SoFunnyTxts/status/595166883067731968/photo/1pic.twitter.com/smUoEtTpEC 
Thu Jul 09 09:21:08 PDT 2015 --  JACK.... @JackMatthew pic.twitter.com/KsJkdKo80D
